,Date,State,Confirmed,Deceased,Recovered,State_Name
7042,26-Apr-20,MN,0,0,0,Manipur
7043,26-Apr-20,MP,145,4,21,Madhya Pradesh
7044,26-Apr-20,MZ,0,0,0,Mizoram
7045,26-Apr-20,NL,0,0,0,Nagaland
7046,26-Apr-20,OR,3,0,1,Odisha
7047,26-Apr-20,PB,14,1,12,Punjab
7048,26-Apr-20,PY,0,0,0,Puducherry
7049,26-Apr-20,RJ,102,7,116,Rajasthan
7050,26-Apr-20,SK,0,0,0,Sikkim
7051,26-Apr-20,TG,11,0,9,Telangana
7052,26-Apr-20,TN,64,1,60,Tamil Nadu
7053,26-Apr-20,TR,0,0,0,Tripura
7054,26-Apr-20,TT,1607,56,585,Total
7055,26-Apr-20,UN,0,0,0,State Unassigned
7056,26-Apr-20,UP,80,3,66,Uttar Pradesh
7057,26-Apr-20,UT,3,0,0,Uttarakhand
7058,26-Apr-20,WB,40,2,2,West Bengal
7059,26-Aug-20,AN,40,4,78,Andaman and Nicobar Islands
7060,26-Aug-20,AP,10830,81,8473,Andhra Pradesh
7061,26-Aug-20,AR,143,0,55,Arunachal Pradesh
7062,26-Aug-20,AS,2179,14,2148,Assam
7063,26-Aug-20,BR,2163,9,2234,Bihar
7064,26-Aug-20,CH,167,1,87,Chandigarh
7065,26-Aug-20,CT,1209,10,413,Chhattisgarh
7066,26-Aug-20,DD,0,0,0,Daman and Diu
7067,26-Aug-20,DL,1693,17,1154,Delhi
7068,26-Aug-20,DN,22,0,41,Dadra and Nagar Haveli and Daman and Diu
7069,26-Aug-20,GA,497,8,287,Goa
7070,26-Aug-20,GJ,1197,17,1047,Gujarat
7071,26-Aug-20,HP,167,2,62,Himachal Pradesh
7072,26-Aug-20,HR,1397,11,1117,Haryana
7073,26-Aug-20,JH,1137,15,736,Jharkhand
7074,26-Aug-20,JK,704,19,599,Jammu and Kashmir
7075,26-Aug-20,KA,8580,133,7249,Karnataka
7076,26-Aug-20,KL,2476,13,1351,Kerala
7077,26-Aug-20,LA,31,1,31,Ladakh
7078,26-Aug-20,LD,0,0,0,Lakshadweep
7079,26-Aug-20,MH,14888,295,7637,Maharashtra
7080,26-Aug-20,ML,32,0,42,Meghalaya
7081,26-Aug-20,MN,141,1,17,Manipur
7082,26-Aug-20,MP,1064,17,936,Madhya Pradesh
7083,26-Aug-20,MZ,14,0,9,Mizoram
7084,26-Aug-20,NL,26,0,0,Nagaland
7085,26-Aug-20,OR,3371,13,3343,Odisha
7086,26-Aug-20,PB,1513,41,1086,Punjab
7087,26-Aug-20,PY,504,8,213,Puducherry
7088,26-Aug-20,RJ,1345,12,1453,Rajasthan
7089,26-Aug-20,SK,11,0,22,Sikkim
7090,26-Aug-20,TG,3018,10,1060,Telangana
7091,26-Aug-20,TN,5958,118,5606,Tamil Nadu
7092,26-Aug-20,TR,329,4,160,Tripura
7093,26-Aug-20,TT,75995,1017,56191,Total
7094,26-Aug-20,UN,0,0,0,State Unassigned
7095,26-Aug-20,UP,5640,82,3808,Uttar Pradesh
7096,26-Aug-20,UT,535,6,323,Uttarakhand
7097,26-Aug-20,WB,2974,55,3314,West Bengal
7098,26-Jul-20,AN,28,0,4,Andaman and Nicobar Islands
7099,26-Jul-20,AP,7627,56,3046,Andhra Pradesh
7100,26-Jul-20,AR,32,0,77,Arunachal Pradesh
7101,26-Jul-20,AS,1142,2,985,Assam
7102,26-Jul-20,BR,2605,17,1788,Bihar
7103,26-Jul-20,CH,35,0,17,Chandigarh
7104,26-Jul-20,CT,431,4,261,Chhattisgarh
7105,26-Jul-20,DD,0,0,0,Daman and Diu
7106,26-Jul-20,DL,1075,21,1807,Delhi
7107,26-Jul-20,DN,49,0,21,Dadra and Nagar Haveli and Daman and Diu
7108,26-Jul-20,GA,175,2,230,Goa
7109,26-Jul-20,GJ,1110,21,753,Gujarat
7110,26-Jul-20,HP,127,1,25,Himachal Pradesh
7111,26-Jul-20,HR,794,3,730,Haryana
7112,26-Jul-20,JH,508,0,183,Jharkhand
7113,26-Jul-20,JK,615,7,411,Jammu and Kashmir
7114,26-Jul-20,KA,5199,82,2088,Karnataka
7115,26-Jul-20,KL,927,2,689,Kerala
7116,26-Jul-20,LA,9,1,6,Ladakh
7117,26-Jul-20,LD,0,0,0,Lakshadweep
7118,26-Jul-20,MH,9431,267,6044,Maharashtra
7119,26-Jul-20,ML,56,0,41,Meghalaya
7120,26-Jul-20,MN,59,0,1,Manipur
7121,26-Jul-20,MP,874,12,644,Madhya Pradesh
7122,26-Jul-20,MZ,0,0,10,Mizoram
7123,26-Jul-20,NL,50,0,8,Nagaland
7124,26-Jul-20,OR,1376,11,864,Odisha
7125,26-Jul-20,PB,534,15,513,Punjab
7126,26-Jul-20,PY,133,2,84,Puducherry
7127,26-Jul-20,RJ,1132,11,648,Rajasthan
7128,26-Jul-20,SK,46,1,5,Sikkim
7129,26-Jul-20,TG,0,0,0,Telangana
7130,26-Jul-20,TN,6986,85,5471,Tamil Nadu
7131,26-Jul-20,TR,37,2,152,Tripura
7132,26-Jul-20,TT,48932,704,31512,Total
7133,26-Jul-20,UN,0,0,0,State Unassigned
7134,26-Jul-20,UP,3246,39,1738,Uttar Pradesh
7135,26-Jul-20,UT,143,0,71,Uttarakhand
7136,26-Jul-20,WB,2341,40,2097,West Bengal
7137,26-Jun-20,AN,14,0,2,Andaman and Nicobar Islands
7138,26-Jun-20,AP,605,10,208,Andhra Pradesh
7139,26-Jun-20,AR,2,0,7,Arunachal Pradesh
7140,26-Jun-20,AS,273,0,214,Assam
7141,26-Jun-20,BR,190,0,189,Bihar
7142,26-Jun-20,CH,2,0,6,Chandigarh
7143,26-Jun-20,CT,89,1,156,Chhattisgarh
7144,26-Jun-20,DD,0,0,0,Daman and Diu
7145,26-Jun-20,DL,3460,63,2326,Delhi
7146,26-Jun-20,DN,15,0,12,Dadra and Nagar Haveli and Daman and Diu
7147,26-Jun-20,GA,44,0,35,Goa
7148,26-Jun-20,GJ,580,18,532,Gujarat
7149,26-Jun-20,HP,25,0,20,Himachal Pradesh
7150,26-Jun-20,HR,421,13,636,Haryana
7151,26-Jun-20,JH,31,0,42,Jharkhand
7152,26-Jun-20,JK,213,1,113,Jammu and Kashmir
7153,26-Jun-20,KA,445,10,246,Karnataka
7154,26-Jun-20,KL,150,0,65,Kerala
7155,26-Jun-20,LA,5,0,109,Ladakh
7156,26-Jun-20,LD,0,0,0,Lakshadweep
7157,26-Jun-20,MH,5024,175,2362,Maharashtra
7158,26-Jun-20,ML,2,0,0,Meghalaya
7159,26-Jun-20,MN,19,0,39,Manipur
7160,26-Jun-20,MP,203,4,185,Madhya Pradesh
7161,26-Jun-20,MZ,2,0,17,Mizoram
7162,26-Jun-20,NL,16,0,2,Nagaland
7163,26-Jun-20,OR,218,0,131,Odisha
7164,26-Jun-20,PB,188,2,9,Punjab
7165,26-Jun-20,PY,32,0,16,Puducherry
7166,26-Jun-20,RJ,364,1,222,Rajasthan
